name,name_ar,governorate,district,address,phone,whatsapp,website,facebook,branches,vets,is_hospital,has_grooming,has_boarding,has_pharmacy,has_petshop,has_lab,current_software,notes,source,source_url
One O One Veterinary Clinic,,Giza,6 October,"District 10, 50 Central Axis",01116111339,01116111339,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Fidge Veterinary Clinic,,Giza,6 October,Anwar Al-Sadat,01065866066,01065866066,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Pets Mall Hospital,,Giza,6 October,"District 10, 221 Central Axis",01033076100,01033076100,,,1,,yes,no,no,no,yes,no,,"Hospital, and the name says retail.",to-all.com directory,https://www.to-all.com/veterinary-october/
Vet4u,,Giza,6 October,Central Axis branch,01030230303,01030230303,,,1,,no,no,no,yes,no,no,,Pharmacy.,to-all.com directory,https://www.to-all.com/veterinary-october/
Smart Vet Veterinary Clinic,,Giza,6 October,,01147355699,01147355699,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Elite Veterinary Center,,Giza,6 October,"First Tourist, above Metro Supermarket",,,,,1,,no,no,no,no,no,no,,NO PHONE LISTED.,to-all.com directory,https://www.to-all.com/veterinary-october/
Pets Planet Clinic,,Giza,6 October,"District 8, Five Stars Mall",01009782040,01009782040,,,1,,no,no,no,no,yes,no,,Pet shop alongside the clinic.,to-all.com directory,https://www.to-all.com/veterinary-october/
Pet Medic,,Giza,6 October,"District 3, behind Al-Jabri Hospital",01117703421,01117703421,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Sham Pets,,Giza,6 October,"District 3, Rana Mall",01066506665,01066506665,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Aleefy Veterinary Center,,Giza,6 October,"Al-Isra Plaza, Central Axis",01099776287,01099776287,,,1,,no,no,no,no,no,no,,"NAME COLLISION - this clinic is already trading as 'Aleefy' in 6 October. Not a prospect first: check whether it is a trademark problem, or a partner.",to-all.com directory,https://www.to-all.com/veterinary-october/
Elite Blue Veterinary Center,,Giza,6 October,Parallel to Central Axis,01020511166,01020511166,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Loyal Friends Vet Clinic,,Giza,6 October,"Al-Zahra, Building 54, Abdullah Al-Nadeem",01007226786,01007226786,,,1,,no,no,no,no,no,no,,Surgery advertised.,to-all.com directory,https://www.to-all.com/veterinary-october/
Pets Place Clinic,,Giza,6 October,Mall No. 8,01066536769,01066536769,,,1,,no,no,no,no,yes,no,,Pet shop alongside the clinic.,to-all.com directory,https://www.to-all.com/veterinary-october/
Pulse Veterinary Center,,Giza,6 October,First Tourist,01065376564,01065376564,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Benji Veterinary Centre,,Giza,6 October,Hill's Mall,01111207333,01111207333,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Dajla Veterinary Clinic,,Giza,6 October,"Dajla Palms, Gate 3",01097337861,01097337861,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Dr Howaida Ismail Clinic,,Giza,6 October,Seven Center Mall,01116655514,01116655514,,,1,,no,no,no,no,no,no,,Named after the vet - decision maker is on the sign.,to-all.com directory,https://www.to-all.com/veterinary-october/
Khufu Veterinary Clinic,,Giza,Sheikh Zayed,Seven Mall,01285592995,01285592995,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Pet's Story Clinic,,Giza,Sheikh Zayed,"Beverly Hills, mixed use area",01152279787,01152279787,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Petsiano Clinic,,Giza,6 October,"Gardens October, Al-Montaza District",01002665934,01002665934,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Just Pets Clinic,,Giza,Sheikh Zayed,"Building 38, Neighbourhood 3, opposite Tara compound",01016165165,01016165165,,,1,,no,no,no,no,no,no,,Other lines: 01151515118. Two lines.,to-all.com directory,https://www.to-all.com/veterinary-october/
Pet Lovers Clinic,,Giza,6 October,,01221948424,01221948424,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Al-Wahda Veterinary Unit,,Giza,Sheikh Zayed,"Office Building, Africano",0235719284,,,,1,,no,no,no,no,no,no,,Landline.,to-all.com directory,https://www.to-all.com/veterinary-october/
Pet Care Hospital 24hrs,,Giza,Sheikh Zayed,Al-Moez Mall,01004740482,01004740482,,,1,,yes,no,no,no,no,no,,"HOSPITAL, 24 hours - a round-the-clock hospital runs shifts, which means rotas and handover.",to-all.com directory,https://www.to-all.com/veterinary-october/
Nabdh Alif Zayed Hospital 24hrs,,Giza,Sheikh Zayed,Opposite Zayed Sports Club,01026565923,01026565923,,,1,,yes,no,no,no,no,no,,"HOSPITAL, 24 hours.",to-all.com directory,https://www.to-all.com/veterinary-october/
Golden Fit Clinic,,Giza,6 October,221 Central Axis,01006244766,01006244766,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Pet Life Clinic,,Giza,6 October,Elfayrouz Center,01143853080,01143853080,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
VETMAN Veterinary Center,,Giza,6 October,"District 10, 107 Al-Fardous",01220872804,01220872804,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Enaya Veterinary Clinic,,Giza,6 October,"District 10, 73 Central Axis",01062696178,01062696178,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Funny Pets,,Giza,6 October,,01025688989,01025688989,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Pets Cure Center,,Giza,6 October,,01020495194,01020495194,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Best 4 Pets Vet Clinic,,Giza,Giza,Orman College,01202700118,01202700118,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Vethouse Veterinary Clinic,,Giza,Haram,"Al-Jish, 352 Zone, Gate 4",01126885812,01126885812,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Prestige Animal Clinic,,Giza,Haram,"Pyramids Gardens, El-Jish",01223703448,01223703448,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Doctor Pets,,Giza,6 October,"Al-Hosary, Blue Center Mall",01064545446,01064545446,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Pets Island Vet Center,,Giza,Sheikh Zayed,Beverly Hills Complex 5,01011772198,01011772198,,,1,,no,no,no,no,no,no,,"Other lines: 01014710710, 01018566654. THREE lines - usually a busy practice.",to-all.com directory,https://www.to-all.com/veterinary-october/
Zayed Veterinary Hospital,,Giza,Sheikh Zayed,"Neighbourhood 2, District 12",01004740482,01004740482,,,1,,yes,no,no,no,no,no,,"Other lines: 01092111110, 01140093913. HOSPITAL, three lines.",to-all.com directory,https://www.to-all.com/veterinary-october/
Beverly Vet Clinic,,Giza,Sheikh Zayed,Beverly Hills Service Area,01006875254,01006875254,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Pets and Pets,,Giza,6 October,"District 7, Al-Hosary Square, Central Axis",01111120746,01111120746,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Pets Care October,,Giza,6 October,,01020076494,01020076494,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Dr Ameema Abdel Fattah,,Giza,Sheikh Zayed,"Reihan, Neighbourhood 3, District 1",01065175553,01065175553,,,1,,no,no,no,no,no,no,,Other lines: 0238519975. Named after the vet.,to-all.com directory,https://www.to-all.com/veterinary-october/
Dr Khaled Ali,,Giza,6 October,"Central, District 1",01008233425,01008233425,,,1,,no,no,no,no,no,no,,Other lines: 01111200798. Named after the vet.,to-all.com directory,https://www.to-all.com/veterinary-october/
Dr Raymond Nabih,,Giza,6 October,Distinguished District,01221746549,01221746549,,,1,,no,no,no,no,no,no,,Named after the vet.,to-all.com directory,https://www.to-all.com/veterinary-october/
Dr Nevin Hassan Hemad,,Giza,Sheikh Zayed,"Neighbourhood 1, District 1",01000487985,01000487985,,,1,,no,no,no,no,no,no,,Other lines: 01123377186. Named after the vet.,to-all.com directory,https://www.to-all.com/veterinary-october/
Dr Yasser Hassan Abu Saada,,Giza,Shubramant,Al-Jamiaa Al-Sharia,0233631275,,,,1,,no,no,no,no,no,no,,Other lines: 01227409723. Named after the vet.,to-all.com directory,https://www.to-all.com/veterinary-october/
C&D Vet Clinic,,Giza,Sheikh Zayed,"Building 21, Beverly Hills",01144990226,01144990226,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
October Clinics,,Giza,6 October,"District 10, Freedom Square",01101160644,01101160644,,,1,,no,no,no,no,no,no,,PLURAL name - ask whether there is more than one site.,to-all.com directory,https://www.to-all.com/veterinary-october/
6 October Veterinary Clinic,,Giza,6 October,"Villa 73, Abdul Moneim Riad",01001979263,01001979263,,,1,,no,no,no,no,no,no,,Other lines: 01115688873.,to-all.com directory,https://www.to-all.com/veterinary-october/
October Vet Clinic,,Giza,6 October,"District 2, 604 Mohamed Badawi, Central Axis",01223578982,01223578982,,,1,,no,no,no,no,no,no,,Other lines: 0236976564.,to-all.com directory,https://www.to-all.com/veterinary-october/
Pet Animals Clinic,,Giza,6 October,"District 3, 24 Neighbourhood 1",01020099123,01020099123,,,1,,no,no,no,no,no,no,,Other lines: 01020099188.,to-all.com directory,https://www.to-all.com/veterinary-october/
Royals Veterinary Clinic,,Giza,6 October,Distinguished District,01158658258,01158658258,,,1,,no,no,no,no,no,no,,Other lines: 01012499666.,to-all.com directory,https://www.to-all.com/veterinary-october/
Zayed Veterinary Clinic,,Giza,Sheikh Zayed,"Neighbourhood 1, District 1",01014872687,01014872687,,,1,,no,no,no,no,no,no,,,to-all.com directory,https://www.to-all.com/veterinary-october/
Veterinario,,Giza,Sheikh Zayed,Beverly Hills,01101222345,01101222345,,,1,,no,no,no,yes,no,no,,Pharmacy.,to-all.com directory,https://www.to-all.com/veterinary-october/
Vito Vet,,Giza,6 October,"District 11, Central Axis",01066649424,01066649424,,,1,,no,no,no,yes,no,no,,"Other lines: 01154941444. Pharmacy, two lines.",to-all.com directory,https://www.to-all.com/veterinary-october/
Very Important Pets,,Giza,6 October,"District 1, 407 Central",01207100037,01207100037,,,1,,no,no,no,yes,no,no,,Pharmacy.,to-all.com directory,https://www.to-all.com/veterinary-october/
Sixth October Veterinary Services Center,,Giza,6 October,"District 6, Al-Mokhtar Village",01229729713,01229729713,,,1,,no,no,no,no,no,no,,Other lines: 01289009732. Two lines.,to-all.com directory,https://www.to-all.com/veterinary-october/
